Year,Term,GRE,TOEFL,IELTS,GPA,University,Department,Admit
2015,FALL,293,0,5.5,2.2,Massachusetts Institute of Technology,Computer Science,0
2015,FALL,315,96,0,2.6,Massachusetts Institute of Technology,Computer Science,0
2015,FALL,303,0,6.5,2.8,Massachusetts Institute of Technology,Computer Science,0
2015,FALL,308,87,0,2.6,Massachusetts Institute of Technology,Computer Science,0
2015,FALL,274,0,5.5,2.2,Massachusetts Institute of Technology,Computer Science,0
2015,FALL,326,101,0,4,Massachusetts Institute of Technology,Computer Science,1
2015,FALL,337,0,7.5,3.8,Massachusetts Institute of Technology,Computer Science,1
2015,FALL,331,104,0,3.1,Massachusetts Institute of Technology,Computer Science,1
2015,FALL,327,0,8.5,3.1,Massachusetts Institute of Technology,Computer Science,1
2015,FALL,330,101,0,3.6,Massachusetts Institute of Technology,Computer Science,1
2015,FALL,302,0,5.5,2.9,Massachusetts Institute of Technology,Computer Engineering,0
2015,FALL,294,81,0,2.5,Massachusetts Institute of Technology,Computer Engineering,0
2015,FALL,298,0,7.5,3.4,Massachusetts Institute of Technology,Computer Engineering,0
2015,FALL,267,84,0,3.5,Massachusetts Institute of Technology,Computer Engineering,0
2015,FALL,263,0,7.5,3.2,Massachusetts Institute of Technology,Computer Engineering,0
2015,FALL,332,108,0,3.7,Massachusetts Institute of Technology,Computer Engineering,1
2015,FALL,326,0,7.5,3.3,Massachusetts Institute of Technology,Computer Engineering,1
2015,FALL,336,102,0,3.2,Massachusetts Institute of Technology,Computer Engineering,1
2015,FALL,330,0,7.5,3.1,Massachusetts Institute of Technology,Computer Engineering,1
2015,FALL,340,109,0,3.4,Massachusetts Institute of Technology,Computer Engineering,1
2015,FALL,314,0,5.5,1.8,Massachusetts Institute of Technology,Electrical Engineering,0
2015,FALL,306,95,0,2,Massachusetts Institute of Technology,Electrical Engineering,0
2015,FALL,271,0,5.5,3.2,Massachusetts Institute of Technology,Electrical Engineering,0
2015,FALL,293,85,0,1.8,Massachusetts Institute of Technology,Electrical Engineering,0
2015,FALL,317,0,6.5,2.3,Massachusetts Institute of Technology,Electrical Engineering,0
2015,FALL,321,101,0,3.3,Massachusetts Institute of Technology,Electrical Engineering,1
2015,FALL,335,0,8.5,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2015,FALL,328,109,0,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2015,FALL,331,0,9.5,3.4,Massachusetts Institute of Technology,Electrical Engineering,1
2015,FALL,332,111,0,3.2,Massachusetts Institute of Technology,Electrical Engineering,1
2015,FALL,265,0,6.5,3.3,Massachusetts Institute of Technology,Management Of Technology,0
2015,FALL,301,98,0,3.2,Massachusetts Institute of Technology,Management Of Technology,0
2015,FALL,303,0,6.5,3.2,Massachusetts Institute of Technology,Management Of Technology,0
2015,FALL,311,90,0,2.8,Massachusetts Institute of Technology,Management Of Technology,0
2015,FALL,284,0,5.5,2.2,Massachusetts Institute of Technology,Management Of Technology,0
2015,FALL,331,106,0,3.5,Massachusetts Institute of Technology,Management Of Technology,1
2015,FALL,328,0,8.5,3.8,Massachusetts Institute of Technology,Management Of Technology,1
2015,FALL,332,115,0,3.2,Massachusetts Institute of Technology,Management Of Technology,1
2015,FALL,336,0,9.5,3.3,Massachusetts Institute of Technology,Management Of Technology,1
2015,FALL,327,108,0,3.6,Massachusetts Institute of Technology,Management Of Technology,1
2015,FALL,261,0,5.5,2.2,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,FALL,271,96,0,2,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,FALL,265,0,6.5,1.7,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,FALL,310,84,0,3,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,FALL,294,0,6.5,1.9,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,FALL,333,107,0,3.9,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,FALL,337,0,6.5,3.3,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,FALL,338,110,0,3.9,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,FALL,326,0,7.5,3.3,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,FALL,338,117,0,3.1,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,FALL,292,0,6.5,3.3,Stanford University,Computer Science,0
2015,FALL,303,84,0,3.5,Stanford University,Computer Science,0
2015,FALL,305,0,5.5,1.7,Stanford University,Computer Science,0
2015,FALL,262,96,0,2.5,Stanford University,Computer Science,0
2015,FALL,304,0,6.5,3.4,Stanford University,Computer Science,0
2015,FALL,326,105,0,3.7,Stanford University,Computer Science,1
2015,FALL,331,0,7.5,3.4,Stanford University,Computer Science,1
2015,FALL,338,109,0,3.3,Stanford University,Computer Science,1
2015,FALL,324,0,6.5,3.3,Stanford University,Computer Science,1
2015,FALL,328,111,0,3.9,Stanford University,Computer Science,1
2015,FALL,301,0,5.5,3.1,Stanford University,Computer Engineering,0
2015,FALL,283,102,0,1.7,Stanford University,Computer Engineering,0
2015,FALL,286,0,6.5,2.5,Stanford University,Computer Engineering,0
2015,FALL,296,89,0,1.7,Stanford University,Computer Engineering,0
2015,FALL,302,0,7.5,3.2,Stanford University,Computer Engineering,0
2015,FALL,328,115,0,3.2,Stanford University,Computer Engineering,1
2015,FALL,339,0,7.5,3.8,Stanford University,Computer Engineering,1
2015,FALL,328,105,0,3.5,Stanford University,Computer Engineering,1
2015,FALL,335,0,8.5,3.8,Stanford University,Computer Engineering,1
2015,FALL,331,114,0,3.8,Stanford University,Computer Engineering,1
2015,FALL,287,0,7.5,3.3,Stanford University,Electrical Engineering,0
2015,FALL,272,100,0,3.4,Stanford University,Electrical Engineering,0
2015,FALL,301,0,5.5,2.2,Stanford University,Electrical Engineering,0
2015,FALL,311,83,0,2.8,Stanford University,Electrical Engineering,0
2015,FALL,274,0,6.5,1.9,Stanford University,Electrical Engineering,0
2015,FALL,339,113,0,3.6,Stanford University,Electrical Engineering,1
2015,FALL,326,0,7.5,3.1,Stanford University,Electrical Engineering,1
2015,FALL,339,117,0,3.5,Stanford University,Electrical Engineering,1
2015,FALL,338,0,6.5,3.8,Stanford University,Electrical Engineering,1
2015,FALL,325,118,0,3.9,Stanford University,Electrical Engineering,1
2015,FALL,268,0,7.5,3.1,Stanford University,Management Of Technology,0
2015,FALL,273,95,0,3.2,Stanford University,Management Of Technology,0
2015,FALL,288,0,5.5,1.7,Stanford University,Management Of Technology,0
2015,FALL,299,96,0,2.5,Stanford University,Management Of Technology,0
2015,FALL,305,0,6.5,2.8,Stanford University,Management Of Technology,0
2015,FALL,333,104,0,3.9,Stanford University,Management Of Technology,1
2015,FALL,329,0,9.5,3.9,Stanford University,Management Of Technology,1
2015,FALL,327,117,0,3.9,Stanford University,Management Of Technology,1
2015,FALL,335,0,8.5,3.6,Stanford University,Management Of Technology,1
2015,FALL,330,118,0,3.7,Stanford University,Management Of Technology,1
2015,FALL,282,0,6.5,2.8,Stanford University,Mechanical Engineering,0
2015,FALL,271,90,0,2.4,Stanford University,Mechanical Engineering,0
2015,FALL,272,0,6.5,2.1,Stanford University,Mechanical Engineering,0
