Admit,Reject,Department,GRE,Quants,Verbal,TOEFL,IELTS,GPA,Work_Ex
NA,Massachusetts Institute of Technology,Computer Science,318,165,153,93,0,2.4,10
Massachusetts Institute of Technology,NA,Computer Science,339,170,169,0,7.5,3.3,7
NA,Massachusetts Institute of Technology,Computer Engineering,262,137,125,88,0,3.3,3
Massachusetts Institute of Technology,NA,Computer Engineering,332,172,160,111,0,3.5,21
NA,Massachusetts Institute of Technology,Electrical Engineering,283,148,135,0,7.5,2.7,8
Massachusetts Institute of Technology,NA,Electrical Engineering,335,172,163,113,0,3.6,20
NA,Massachusetts Institute of Technology,Management Of Technology,306,156,150,93,0,2.4,4
Massachusetts Institute of Technology,NA,Management Of Technology,328,170,158,0,9.5,3.6,16
NA,Massachusetts Institute of Technology,Mechanical Engineering,306,159,147,0,6.5,1.9,9
Massachusetts Institute of Technology,NA,Mechanical Engineering,330,170,160,103,0,3.4,5
NA,Stanford University,Computer Science,313,163,150,90,0,1.8,11
Stanford University,NA,Computer Science,323,168,155,0,7.5,3.3,2
NA,Stanford University,Computer Engineering,265,137,128,100,0,2.7,14
Stanford University,NA,Computer Engineering,332,169,163,112,0,3.9,7
NA,Stanford University,Electrical Engineering,290,147,143,0,5.5,1.8,24
Stanford University,NA,Electrical Engineering,326,169,157,0,6.5,3.1,9
NA,Stanford University,Management Of Technology,303,155,148,91,0,3.4,11
Stanford University,NA,Management Of Technology,335,170,165,0,6.5,3.3,8
NA,Stanford University,Mechanical Engineering,294,150,144,102,0,2.4,2
Stanford University,NA,Mechanical Engineering,333,168,165,115,0,3.1,20
NA,Cornell University,Computer Science,319,163,156,0,7.5,3.3,17
Cornell University,NA,Computer Science,323,164,159,111,0,3.1,1
NA,Cornell University,Computer Engineering,286,149,137,0,7.5,3,10
Cornell University,NA,Computer Engineering,335,170,165,0,6.5,3.9,15
NA,Cornell University,Electrical Engineering,278,140,138,0,5.5,2.6,9
Cornell University,NA,Electrical Engineering,331,169,162,0,9.5,3.3,19
