Year,Term,GRE,TOEFL,IELTS,GPA,University,Department,Admit
2016,SPRING,309,89,0,2,Massachusetts Institute of Technology,Computer Science,0
2016,SPRING,270,0,5.5,1.8,Massachusetts Institute of Technology,Computer Science,0
2016,SPRING,296,86,0,2.7,Massachusetts Institute of Technology,Computer Science,0
2016,SPRING,271,0,5.5,2.4,Massachusetts Institute of Technology,Computer Science,0
2016,SPRING,278,93,0,2.4,Massachusetts Institute of Technology,Computer Science,0
2016,SPRING,327,0,9.5,2.9,Massachusetts Institute of Technology,Computer Science,1
2016,SPRING,325,117,0,3.5,Massachusetts Institute of Technology,Computer Science,1
2016,SPRING,325,0,9.5,3.8,Massachusetts Institute of Technology,Computer Science,1
2016,SPRING,328,112,0,2.9,Massachusetts Institute of Technology,Computer Science,1
2016,SPRING,323,0,6.5,3.6,Massachusetts Institute of Technology,Computer Science,1
2016,SPRING,269,96,0,2.6,Massachusetts Institute of Technology,Computer Engineering,0
2016,SPRING,277,0,7.5,2.6,Massachusetts Institute of Technology,Computer Engineering,0
2016,SPRING,288,91,0,1.8,Massachusetts Institute of Technology,Computer Engineering,0
2016,SPRING,285,0,7.5,2.4,Massachusetts Institute of Technology,Computer Engineering,0
2016,SPRING,312,97,0,1.8,Massachusetts Institute of Technology,Computer Engineering,0
2016,SPRING,328,0,6.5,3.5,Massachusetts Institute of Technology,Computer Engineering,1
2016,SPRING,321,114,0,3.7,Massachusetts Institute of Technology,Computer Engineering,1
2016,SPRING,322,0,7.5,3.8,Massachusetts Institute of Technology,Computer Engineering,1
2016,SPRING,321,113,0,3.4,Massachusetts Institute of Technology,Computer Engineering,1
2016,SPRING,326,0,9.5,3.2,Massachusetts Institute of Technology,Computer Engineering,1
2016,SPRING,293,91,0,2.5,Massachusetts Institute of Technology,Electrical Engineering,0
2016,SPRING,313,0,6.5,1.6,Massachusetts Institute of Technology,Electrical Engineering,0
2016,SPRING,299,81,0,1.5,Massachusetts Institute of Technology,Electrical Engineering,0
2016,SPRING,307,0,7.5,1.6,Massachusetts Institute of Technology,Electrical Engineering,0
2016,SPRING,273,87,0,1.6,Massachusetts Institute of Technology,Electrical Engineering,0
2016,SPRING,331,0,6.5,3.7,Massachusetts Institute of Technology,Electrical Engineering,1
2016,SPRING,334,101,0,2.9,Massachusetts Institute of Technology,Electrical Engineering,1
2016,SPRING,332,0,7.5,3.5,Massachusetts Institute of Technology,Electrical Engineering,1
2016,SPRING,318,112,0,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2016,SPRING,330,0,9.5,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2016,SPRING,263,91,0,1.8,Massachusetts Institute of Technology,Management Of Technology,0
2016,SPRING,304,0,7.5,2.9,Massachusetts Institute of Technology,Management Of Technology,0
2016,SPRING,295,95,0,1.4,Massachusetts Institute of Technology,Management Of Technology,0
2016,SPRING,301,0,5.5,1.6,Massachusetts Institute of Technology,Management Of Technology,0
2016,SPRING,274,85,0,3,Massachusetts Institute of Technology,Management Of Technology,0
2016,SPRING,328,0,7.5,3.8,Massachusetts Institute of Technology,Management Of Technology,1
2016,SPRING,330,113,0,3.5,Massachusetts Institute of Technology,Management Of Technology,1
2016,SPRING,335,0,7.5,3.6,Massachusetts Institute of Technology,Management Of Technology,1
2016,SPRING,320,120,0,3.4,Massachusetts Institute of Technology,Management Of Technology,1
2016,SPRING,328,0,8.5,3.3,Massachusetts Institute of Technology,Management Of Technology,1
2016,SPRING,277,95,0,3.2,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,SPRING,315,0,5.5,1.6,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,SPRING,286,100,0,2.5,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,SPRING,284,0,7.5,1.9,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,SPRING,299,95,0,1.8,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,SPRING,328,0,6.5,2.9,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,SPRING,323,104,0,3.8,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,SPRING,333,0,6.5,3.5,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,SPRING,316,102,0,3.1,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,SPRING,331,0,8.5,3.1,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,SPRING,314,94,0,2.6,Stanford University,Computer Science,0
2016,SPRING,273,0,6.5,1.8,Stanford University,Computer Science,0
2016,SPRING,290,95,0,1.4,Stanford University,Computer Science,0
