Admit,Reject,Department,GRE,Quants,Verbal,TOEFL,IELTS,GPA,Work_Ex
NA,Massachusetts Institute of Technology,Computer Science,290,150,140,0,5.5,2.6,12
Massachusetts Institute of Technology,NA,Computer Science,323,165,158,110,0,3.2,1
NA,Massachusetts Institute of Technology,Computer Engineering,289,148,141,0,7.5,1.7,14
Massachusetts Institute of Technology,NA,Computer Engineering,328,168,160,0,8.5,3.9,2
NA,Massachusetts Institute of Technology,Electrical Engineering,318,162,156,99,0,1.7,13
Massachusetts Institute of Technology,NA,Electrical Engineering,337,170,167,0,8.5,3.9,16
NA,Massachusetts Institute of Technology,Management Of Technology,263,136,127,94,0,2.3,8
Massachusetts Institute of Technology,NA,Management Of Technology,331,167,164,117,0,3.5,4
NA,Massachusetts Institute of Technology,Mechanical Engineering,279,141,138,0,7.5,1.8,24
Massachusetts Institute of Technology,NA,Mechanical Engineering,338,170,168,0,8.5,3.6,11
NA,Stanford University,Computer Science,312,160,152,0,7.5,3.5,3
Stanford University,NA,Computer Science,321,163,158,117,0,3.8,22
NA,Stanford University,Computer Engineering,298,150,148,0,5.5,2,17
Stanford University,NA,Computer Engineering,337,170,167,0,6.5,3.9,16
NA,Stanford University,Electrical Engineering,304,157,147,0,5.5,2.5,9
Stanford University,NA,Electrical Engineering,325,166,159,119,0,4,4
NA,Stanford University,Management Of Technology,305,157,148,0,5.5,2.8,15
Stanford University,NA,Management Of Technology,328,169,159,103,0,3.4,19
NA,Stanford University,Mechanical Engineering,314,162,152,87,0,3,14
Stanford University,NA,Mechanical Engineering,327,166,161,0,9.5,4,17
NA,Cornell University,Computer Science,275,139,136,90,0,1.6,9
Cornell University,NA,Computer Science,338,170,168,0,7.5,3.9,3
NA,Cornell University,Computer Engineering,283,145,138,93,0,1.6,18
Cornell University,NA,Computer Engineering,331,170,161,114,0,4,23
NA,Cornell University,Electrical Engineering,296,151,145,0,6.5,2.3,24
Cornell University,NA,Electrical Engineering,338,170,168,114,0,3.3,15
NA,Cornell University,Management Of Technology,293,149,144,0,6.5,1.8,2
Cornell University,NA,Management Of Technology,323,166,157,113,0,3.7,12
NA,Cornell University,Mechanical Engineering,312,158,154,87,0,2.6,4
Cornell University,NA,Mechanical Engineering,322,165,157,0,9.5,3.3,1
NA,Purdue University,Computer Science,269,139,130,102,0,1.7,1
Purdue University,NA,Computer Science,333,171,162,0,7.5,3.3,22
NA,Purdue University,Computer Engineering,314,160,154,0,6.5,2.7,18
Purdue University,NA,Computer Engineering,328,165,163,105,0,3.4,10
NA,Purdue University,Electrical Engineering,300,152,148,0,5.5,2.5,12
Purdue University,NA,Electrical Engineering,327,168,159,0,6.5,3.2,14
NA,Purdue University,Management Of Technology,281,146,135,0,7.5,3.5,8
Purdue University,NA,Management Of Technology,331,168,163,109,0,3.1,24
NA,Purdue University,Mechanical Engineering,274,141,133,99,0,3.4,4
Purdue University,NA,Mechanical Engineering,326,168,158,0,8.5,3.5,3
NA,Penn State University,Computer Science,304,154,150,0,6.5,1.7,7
Penn State University,NA,Computer Science,336,170,166,113,0,3.4,6
NA,Penn State University,Computer Engineering,297,155,142,93,0,2.1,23
Penn State University,NA,Computer Engineering,328,165,163,0,7.5,4,16
NA,Penn State University,Electrical Engineering,303,158,145,0,6.5,2.8,17
Penn State University,NA,Electrical Engineering,329,169,160,112,0,3.3,12
NA,Penn State University,Management Of Technology,317,163,154,0,5.5,2.2,11
Penn State University,NA,Management Of Technology,326,167,159,105,0,3.3,20
NA,Penn State University,Mechanical Engineering,271,141,130,100,0,2.8,20
Penn State University,NA,Mechanical Engineering,327,168,159,0,8.5,3.3,17
NA,"University of California, Los Angeles",Computer Science,288,148,140,0,5.5,1.9,6
"University of California, Los Angeles",NA,Computer Science,321,162,159,0,6.5,3.5,15
NA,"University of California, Los Angeles",Computer Engineering,310,160,150,0,6.5,2.1,22
"University of California, Los Angeles",NA,Computer Engineering,335,169,166,104,0,3.5,5
NA,"University of California, Los Angeles",Electrical Engineering,261,132,129,0,7.5,3.2,14
"University of California, Los Angeles",NA,Electrical Engineering,323,166,157,116,0,3.7,20
NA,"University of California, Los Angeles",Management Of Technology,293,148,145,85,0,2.7,13
"University of California, Los Angeles",NA,Management Of Technology,335,170,165,0,8.5,3.4,17
NA,"University of California, Los Angeles",Mechanical Engineering,282,146,136,0,5.5,2,24
"University of California, Los Angeles",NA,Mechanical Engineering,332,171,161,109,0,3.1,12
NA,The University of Texas at Austin,Computer Science,275,141,134,0,7.5,1.6,17
The University of Texas at Austin,NA,Computer Science,333,170,163,0,6.5,3.6,15
NA,The University of Texas at Austin,Computer Engineering,269,138,131,0,6.5,2.2,16
The University of Texas at Austin,NA,Computer Engineering,332,170,162,0,8.5,4,6
NA,The University of Texas at Austin,Electrical Engineering,319,165,154,89,0,1.8,1
The University of Texas at Austin,NA,Electrical Engineering,327,170,157,0,6.5,3.5,2
NA,The University of Texas at Austin,Management Of Technology,316,163,153,0,5.5,2.3,18
The University of Texas at Austin,NA,Management Of Technology,336,171,165,109,0,4,6
NA,The University of Texas at Austin,Mechanical Engineering,270,141,129,92,0,3,24
The University of Texas at Austin,NA,Mechanical Engineering,333,170,163,102,0,3.5,11
NA,University of Pennsylvania,Computer Science,316,162,154,83,0,3.4,10
University of Pennsylvania,NA,Computer Science,327,169,158,0,8.5,3.9,21
NA,University of Pennsylvania,Computer Engineering,315,164,151,83,0,2.5,11
University of Pennsylvania,NA,Computer Engineering,337,170,167,108,0,3.3,20
NA,University of Pennsylvania,Electrical Engineering,263,135,128,0,7.5,3.1,4
University of Pennsylvania,NA,Electrical Engineering,330,166,164,0,8.5,3.1,6
